system	yaml.name	search	comment	references	group	fill	stroke
Zorya Type I	zorya_type_I	TRUE	NA	doron2018:10/ggqhzm	DMS	#EBC5E5	#BD3FA7
Zorya Type II	zorya_type_II	TRUE	NA	doron2018:10/ggqhzm	DMS	#EBC5E5	#BD3FA7
Zorya Type III	zorya_type_III	TRUE	NA	doron2018:10/ggqhzm	DMS	#EBC5E5	#BD3FA7
Zorya (other)	zorya_other	TRUE	NA	NA	DMS	#EBC5E5	#BD3FA7
CRISPR-Cas Type I-A	cas_type_I-A	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type I-B1	cas_type_I-B1	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type I-B2	cas_type_I-B2	TRUE	Transposon-associated	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type I-C	cas_type_I-C	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type I-D	cas_type_I-D	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type I-E	cas_type_I-E	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type I-F1	cas_type_I-F1	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type I-F2	cas_type_I-F2	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type I-F3	cas_type_I-F3	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type I-G	cas_type_I-G	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type II-A	cas_type_II-A	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type II-B	cas_type_II-B	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type II-C	cas_type_II-C	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type III-A	cas_type_III-A	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type III-B	cas_type_III-B	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type III-C	cas_type_III-C	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type III-D	cas_type_III-D	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type III-E	cas_type_III-E	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type III-F	cas_type_III-F	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type III-G	cas_type_III-G	TRUE	Unofficial type	NA	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type III-H	cas_type_III-H	TRUE	Unofficial type	NA	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type IV-A	cas_type_IV-A	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type IV-B	cas_type_IV-B	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type IV-C	cas_type_IV-C	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type IV-D	cas_type_IV-D	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type IV-E	cas_type_IV-E	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type V	cas_type_V	TRUE	Requires Cas12 and adaptation genes or array	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type V-K	cas_type_V-K	TRUE	NA	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas Type VI	cas_type_VI	TRUE	Requires Cas13 and adaptation genes or array	makarova2020:10/ggkfgj	CRISPR	#9AECF4	#1298A6
CRISPR-Cas adaptation	cas_adaptation	TRUE	Captures potential orphan Cas1/Cas2 modules	NA	CRISPR	#F9BA9A	#B8440A
CRISPR-Cas (other)	cas_type_other	TRUE	NA	NA	CRISPR	#F9BA9A	#B8440A
AVAST Type I	AVAST_type_I	TRUE	NA	gao2020:10/gpsx	MG1	#F1F1D1	#CACA56
AVAST Type I (other)	AVAST_type_I_other	TRUE	NA	NA	MG1	#F1F1D1	#CACA56
AVAST Type II	AVAST_type_II	TRUE	NA	gao2020:10/gpsx	MG1	#F1F1D1	#CACA56
AVAST Type III	AVAST_type_III	TRUE	NA	gao2020:10/gpsx	MG1	#F1F1D1	#CACA56
AVAST Type IV	AVAST_type_IV	TRUE	NA	gao2020:10/gpsx	MG1	#F1F1D1	#CACA56
AVAST Type V	AVAST_type_V	TRUE	NA	gao2020:10/gpsx	MG1	#F1F1D1	#CACA56
DRT Class 1	DRT_class_I	TRUE	Captures multiple RT groups (both with and without known defence activity); includes AbiA, AbiK, AbiP2	dinsmore1994:10/gndc3s;emond1997:10/gndc4n;odegrip2006:10/dbkcfp;gao2020:10/gpsx;mestre2022:10/kws9	DRT	#FFD6D5	#FF4945
DRT Class 2	DRT_class_II	TRUE	Captures multiple RT groups (both with and without known defence activity)	gao2020:10/gpsx;mestre2022:10/kws9	DRT	#FFD6D5	#FF4945
DRT Class 3	DRT_class_III	TRUE	Captures multiple RT groups (both with and without known defence activity)	gao2020:10/gpsx;rousset2022:10/hnt9	DRT	#FFD6D5	#FF4945
DRT Type III	DRT_type_III	TRUE	Type III requires a separate model to avoid Class1/2 overlap	gao2020:10/gpsx	DRT	#FFD6D5	#FF4945
DRT (other)	DRT_other	TRUE	NA	NA	DRT	#CFB8B8	#C24744
Dsr1	dsr1	TRUE	NA	gao2020:10/gpsx	MG1	#EFA8A8	#AB1F20
Dsr2	dsr2	TRUE	NA	gao2020:10/gpsx	MG1	#EFA8A8	#AB1F20
ApeA	ApeA	TRUE	NA	gao2020:10/gpsx	SG1	#EDED9E	#96971B
Gao System 19	GAO_19	TRUE	Also known as PD-T7-2 (Vassallo 2022)	gao2020:10/gpsx;vassallo2022:10/gqwkdp	DG1	#98CBED	#195F8E
Gao System 20	GAO_20	TRUE	NA	gao2020:10/gpsx	DG1	#98CBED	#195F8E
Gao System 29	GAO_29	TRUE	NA	gao2020:10/gpsx	DMS	#98CBED	#195F8E
Hhe	hhe	TRUE	NA	gao2020:10/gpsx	SG1	#F1F1D1	#CACA56
IetAS	ietAS	TRUE	NA	gao2020:10/gpsx	DG1	#F0F0B9	#A6A638
Mza	mza	TRUE	NA	gao2020:10/gpsx	MG1	#D6B8B2	#70453C
Mza (other)	mza_other	TRUE	NA	NA	MG1	#D6B8B3	#70453C
Ppl	ppl	TRUE	NA	gao2020:10/gpsx	SG1	#EDED9E	#96971B
QatABCD	qatABCD	TRUE	NA	gao2020:10/gpsx	MG1	#E8DFEE	#A07DBA
QatABCD (other)	qatABCD_other	TRUE	NA	NA	MG1	#E8DFEE	#A07DBA
RADAR	RADAR	TRUE	NA	gao2020:10/gpsx	MG1	#D4C2E5	#7747A3
TerY-P	TerY-P	TRUE	NA	gao2020:10/gpsx	MG1	#D6F2D0	#66CF51
TerY-P (other)	TerY-P_other	TRUE	NA	NA	MG1	#D6F2D1	#66CF52
Tmn	tmn	TRUE	NA	gao2020:10/gpsx	SG1	#FFE4C9	#FF952D
Upx	upx	TRUE	NA	gao2020:10/gpsx	SG1	#FFE4C9	#FF952D
AbiB	AbiB	TRUE	NA	cluzel1991:10/gndc3t;parreira1996:10/b835bf	SG1	#EDED9E	#96971B
AbiC	AbiC	TRUE	NA	durmaz1992:10/gndc3v	SG1	#EDED9E	#96971B
AbiD	AbiD	TRUE	Captures AbiD, AbiD1 and AbiF	mclandsborough1995:10/gndc4j;anba1995:10/gndc3w;garvey1995:10/gndc3x	SG1	#EDED9E	#96971B
AbiE	AbiE	TRUE	NA	garvey1995:10/gndc3x;dy2014:10/f5zkmw	DG1	#EDED9E	#96971B
AbiG	AbiG	TRUE	NA	oconnor1996:10/gndc4m	DG1	#EDED9E	#96971B
AbiH	AbiH	TRUE	NA	prevots1996:10/dvjcb5	SG1	#EDED9E	#96971B
AbiI	AbiI	TRUE	NA	su1997:10/ckwmpp	SG1	#EDED9E	#96971B
AbiJ	AbiJ	TRUE	NA	deng1997:10/d24tcq	SG1	#EDED9E	#96971B
AbiL	AbiL	TRUE	NA	deng1999:10/bwc9k8	DG1	#EDED9E	#96971B
AbiN	AbiN	TRUE	NA	prevots1998:10/c94sd6	SG1	#EDED9E	#96971B
AbiO-Nhi family	AbiO-Nhi_family	TRUE	NA	prevots1998:10/cg69rg; bari2022:10/hrgb	SG1	#EDED9E	#96971B
AbiP	AbiP	TRUE	NA	domingues2004:10/bjjwc6	DRT	#EDED9E	#96971B
AbiQ	AbiQ	TRUE	NA	emond1998:10/gndc4p	SG1	#EDED9E	#96971B
AbiT	AbiT	TRUE	NA	bouchard2002:10/btq97w	DG1	#EDED9E	#96971B
AbiU	AbiU	TRUE	NA	dai2001:10/cwbxdg	SG1	#EDED9E	#96971B
AbiV	AbiV	TRUE	NA	haaber2008:10/cnwcq7	SG1	#EDED9E	#96971B
AbiZ	AbiZ	TRUE	NA	durmaz2007:10/dnndhw	SG1	#EDED9E	#96971B
BstA	BstA	TRUE	NA	owen2021:10/g29b	SG1	#EDED9E	#96971B
Lit	Lit	TRUE	NA	bergsland1990:10/fv36tb	SG1	#EDED9E	#96971B
Old	Old	TRUE	NA	lindahl1970:10/fkgq7x;rousset2022:10/hnt9	SG1	#EDED9E	#96971B
RexAB	RexAB	TRUE	NA	parma1992:10/b9xpsb	DG1	#EDED9E	#96971B
Tin	Tin	TRUE	NA	smith1969:10/gndc4r;rousset2022:10/hnt9	SG1	#EDED9E	#96971B
PifA	PifA	TRUE	NA	cram1984:10/fg7s8g	SG1	#EDED9E	#96971B
PrrC	PrrC	TRUE	Should be associated with an RM system	jabbar1984:10/gndc4t	SG1	#EDED9E	#96971B
Pycsar effector	pycsar_effector	TRUE	NA	tal2021:10/gngng3	SigPro	#EBC5E5	#BD3FA7
Pycsar unknown	pycsar_unknown	TRUE	NA	tal2021:10/gngng3	SigPro	#EBC5E7	#BD3FA9
Pycsar (other)	pycsar_other	TRUE	NA	NA	SigPro	#EBC5E6	#BD3FA8
Stk2	Stk2	TRUE	NA	depardieu2016:10/f9f7dq	SG1	#EDED9E	#96971B
dXTPase	dXTPase	TRUE	Captures dCTPases and dGTPases	tal2022:10/gqh5nt	SG1	#EDED9E	#96971B
Argonaute Type I	argonaute_type_I	TRUE	NA	makarova2009:10/cvfhm6;burroughs2014:10/gfkh7c	MG1	#F1F1D1	#CACA56
Argonaute Type II	argonaute_type_II	TRUE	NA	makarova2009:10/cvfhm6;burroughs2014:10/gfkh7c	MG1	#F1F1D1	#CACA56
Argonaute Type III	argonaute_type_III	TRUE	NA	makarova2009:10/cvfhm6;burroughs2014:10/gfkh7c	MG1	#F1F1D1	#CACA56
Argonaute SiAgo	argonaute_type_SiAgo	TRUE	NA	zeng2022:10/kws6	MG1	#F1F1D1	#CACA56
Argonaute solo	argonaute_solo	TRUE	NA	makarova2009:10/cvfhm6;burroughs2014:10/gfkh7c	MG1	#F1F1D1	#CACA56
Argonaute (other)	argonaute_other	TRUE	NA	NA	MG1	#F1F1D1	#CACA56
Retron Type I-A	retron_I-A	TRUE	Also known as Septu Type II (Payne 2021)	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3;payne2021:10/gzgh	DRT	#EFC1F2	#BF9AC1
Retron Type I-B	retron_I-B	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type I-C	retron_I-C	TRUE	Single gene retron	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type II-A	retron_II-A	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type III-A	retron_III-A	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type IV	retron_IV	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type IX	retron_IX	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type V	retron_V	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type VI	retron_VI	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type VII-A1	retron_VII-A1	TRUE	Single gene retron	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type VII-A2	retron_VII-A2	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type VIII	retron_VIII	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type X	retron_X	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type XI	retron_XI	TRUE	Single gene retron	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type XII	retron_XII	TRUE	Single gene retron	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron Type XIII	retron_XIII	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron (Ec107-like)	retron_Ec107-like	TRUE	NA	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Retron outgroup	retron_outgroup	TRUE	Non-defence retrons	millman2020:10/gg84nk;gao2020:10/gpsx;mestre2020:10/fzk3	DRT	#EFC1F2	#BF9AC1
Viperin w/ HicA-like toxin	viperin_toxin	TRUE	NA	bernheim2021:10/d9ss	MG1	#EBC5ED	#D479D9
Viperin w/ NERD	viperin_nerd	TRUE	NA	bernheim2021:10/d9ss	MG1	#EBC5ED	#D479D9
Viperin w/ TPR	viperin_tpr	TRUE	NA	bernheim2021:10/d9ss	MG1	#EBC5ED	#D479D9
Viperin-kinase fusion	viperin_kinase_fusion	TRUE	NA	bernheim2021:10/d9ss	MG1	#EBC5ED	#D479D9
Viperin solo	viperin_solo	TRUE	NA	bernheim2021:10/d9ss	MG1	#EBC5ED	#D479D9
Viperin (other)	viperin_other	TRUE	NA	NA	MG1	#EBC5ED	#D479D9
BREX Type I	brex_type_I	TRUE	NA	goldfarb2015:10/f2wkj3	DMS	#DFE9F6	#6F9BD6
BREX Type II	brex_type_II	TRUE	NA	goldfarb2015:10/f2wkj3	DMS	#DFE9F6	#6F9BD6
BREX Type III	brex_type_III	TRUE	NA	goldfarb2015:10/f2wkj3	DMS	#DFE9F6	#6F9BD6
BREX Type IV	brex_type_IV	TRUE	NA	goldfarb2015:10/f2wkj3	DMS	#DFE9F6	#6F9BD6
BREX Type V	brex_type_V	TRUE	NA	goldfarb2015:10/f2wkj3	DMS	#DFE9F6	#6F9BD6
BREX Type VI	brex_type_VI	TRUE	NA	goldfarb2015:10/f2wkj3	DMS	#DFE9F6	#6F9BD6
DISARM Type I	disarm_type_I	TRUE	NA	ofir2017:10/ggnszb	DMS	#FFCC9F	#D76500
DISARM Type II	disarm_type_II	TRUE	NA	ofir2017:10/ggnszb	DMS	#FFCC9F	#D76500
Dpd	Dpd	TRUE	7-deazaguanine modification system; protects against RM and CRISPR-Cas	thiaville2016:10/ggr4f7;yuan2018:10/gfft6b	DMS	#99CBED	#195F90
DndABCDE	PT_DndABCDE	TRUE	Phosphorotioation system modification module	xu2010:10/d5zqcp;tong2018:10/gdbj2n	DMS	#FFE4C9	#FF952D
DndFGH	PT_DndFGH	TRUE	Phosphorotioation system restriction module	xu2010:10/d5zqcp;tong2018:10/gdbj2n	DMS	#FFE4C9	#FF952D
PbeABCD	PT_PbeABCD	TRUE	Phosphorotioation system modification module	xiong2019:10/ggctjz	DMS	#FFE4C9	#FF952D
SspABCD	PT_SspABCD	TRUE	Phosphorotioation system modification module	xiong2020:10/ggq8nb;wang2021:10/gbsw	DMS	#FFE4C9	#FF952D
SspE	PT_SspE	TRUE	Phosphorotioation system restriction module	xiong2020:10/ggq8nb	DMS	#FFE4C9	#FF952D
SspFGH	PT_SspFGH	TRUE	Phosphorotioation system restriction module	wang2021:10/gbsw	DMS	#FFE4C9	#FF952D
PARIS	Paris	TRUE	NA	rousset2022:10/hnt9	new	#E7D7D4	#AC7368
PARIS fused	Paris_fused	TRUE	NA	rousset2022:10/hnt9	new	#E7D7D4	#AC7368
2TM-1TM-TIR	2TM-1TM-TIR	TRUE	NA	rousset2022:10/hnt9	DG1	#D6F2D0	#66CF51
3HP	3HP	TRUE	NA	rousset2022:10/hnt9	DG1	#D6F2D0	#66CF51
DUF4238	DUF4238	TRUE	NA	rousset2022:10/hnt9	DG1	#D6F2D0	#66CF51
Gop-beta-cII	gop_beta_cll	TRUE	NA	rousset2022:10/hnt9	DG1	#D6F2D0	#66CF51
Helicase-DUF2290	Helicase-DUF2290	TRUE	NA	rousset2022:10/hnt9	DG1	#D6F2D0	#66CF51
Hydrolase-TM	Hydrolase-TM	TRUE	NA	rousset2022:10/hnt9	DG1	#D6F2D0	#66CF51
TIR-NLR	TIR-NLR	TRUE	NA	rousset2022:10/hnt9	DG1	#D6F2D0	#66CF51
Gasdermin	gasdermin	TRUE	NA	johnson2022:10/gn4vwb	DG1	#D6F2D0	#66CF51
DarTG	darTG	TRUE	NA	sberro2013:10/f4skh2;leroux2022:10/kws7	DG1	#EDED9E	#96971B
RM Type I	RM_type_I	TRUE	NA	NA	DMS	#F1F1D1	#CACA56
RM Type II	RM_type_II	TRUE	NA	NA	DMS	#F1F1D1	#CACA56
RM Type IIG	RM_type_IIG	TRUE	NA	NA	DMS	#F1F1D1	#CACA56
RM Type III	RM_type_III	TRUE	NA	NA	DMS	#F1F1D1	#CACA56
RM Type IV	RM_type_IV	TRUE	NA	nA	DMS	#F1F1D1	#CACA56
RM VSPR	VSPR	TRUE	Very short patch repair system (non-defence, included for completeness)	NA	DMS	#E8DFA2	#D1BE45
PcaRCII	RM_type_HNH	TRUE	NA	birkholz2022:10/kw2b	DMS	#E8DFA2	#D1BE45
MADS	mads	TRUE	NA	maestri2023:10/ktmx	DMS	#E8DFA2	#D1BE45
Dynamins	Dynamins	TRUE	NA	guo2022:10/kwtb;millman2022:10/gsdp9b	new	#9FB59A	#468F38
PD-Lambda-1	PD-Lambda-1	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-Lambda-2	PD-Lambda-2	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-Lambda-3	PD-Lambda-3	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-Lambda-4	PD-Lambda-4	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-Lambda-5	PD-Lambda-5	TRUE	NA	vassallo2022:10/gqwkdp	DMS	#9FB59A	#468F38
PD-Lambda-6	PD-Lambda-6	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T4-1	PD-T4-1	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T4-10	PD-T4-10	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T4-2	PD-T4-2	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T4-3	PD-T4-3	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T4-4	PD-T4-4	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T4-5	PD-T4-5	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T4-6	PD-T4-6	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T4-7	PD-T4-7	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T4-9	PD-T4-9	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T7-1/5	PD-T7-1or5	TRUE	Captures PD-T7-1 and PD-T7-5	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T7-3	PD-T7-3	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
PD-T7-4	PD-T7-4	TRUE	NA	vassallo2022:10/gqwkdp	new	#9FB59A	#468F38
DdmDE	DdmDE	TRUE	NA	jaskolska2022:10/hrkn	new	#9FB59A	#468F38
SpbK	spbK	TRUE	NA	johnson2022:10/kw2c	new	#9FB59A	#468F38
Aditi	Aditi	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Azaca	Azaca	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Borvo	Borvo	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Bunzi	Bunzi	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Dazbog	Dazbog	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Dodola	Dodola	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
ISG15-like	ISG15-like	TRUE	NA	millman2022:10/gsdp9b	SigPro	#9FB59A	#468F38
ISG15-like (other)	ISG15-like_other	TRUE	NA	NA	SigPro	#9FB59A	#468F38
Menshen	Menshen	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Mokosh Type I	Mokosh_TypeI	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Menshen (other)	Menshen_other	TRUE	NA	NA	new	#9FB59A	#468F38
Mokosh Type II	Mokosh_TypeII	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Olokun	Olokun	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
PsyrTA	PsyrTA	TRUE	NA	millman2022:10/gsdp9b	DMS	#9FB59A	#468F38
RosmerTA	RosmerTA	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
SEFIR	SEFIR	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Shango	Shango	TRUE	NA	millman2022:10/gsdp9b	DMS	#9FB59A	#468F38
ShosTA	ShosTA	TRUE	Also known as DprA-PRTase (Rousset 2022)	millman2022:10/gsdp9b;rousset2022:10/hnt9	new	#9FB59A	#468F38
SoFic	SoFic	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Tiamat	Tiamat	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
Juk	Juk	TRUE	NA	li2022:10/kwzv	new	#9FB59A	#468F38
Uzume	Uzume	TRUE	NA	millman2022:10/gsdp9b	new	#9FB59A	#468F38
DNA-modification systems (other)	DMS_other	TRUE	Loose model that captures various DNA-modification system proteins	NA	DMS	#D6D6A5	#9C9C6E
Hma	hma	TRUE	Helicase-Methylase-ATPase system	payne2021:10/gzgh	DMS	#D6F2D0	#66CF51
HEC-01	HEC-01	TRUE	Hma-embedded candidate; defence undetected	payneUNPUBLISHED:NA	HEC	#FFD6D5	#FF4945
HEC-02	HEC-02	TRUE	Hma-embedded candidate	payneUNPUBLISHED:NA	HEC	#FFD6D5	#FF4945
